timestamp,city,country,temperature,description
2025-07-21 18:41:00,Miami,US,88,scattered clouds
2025-07-21 18:41:37,Miami,US,88,scattered clouds
2025-07-21 18:41:55,New York,US,84,scattered clouds
2025-07-21 18:43:56,New York,US,84,scattered clouds
2025-07-21 18:44:11,Miami,US,88,scattered clouds
2025-07-21 18:59:23,New York,US,84,few clouds
2025-07-23 05:13:23,Miami,US,80,broken clouds
2025-07-23 13:53:05,New York,US,81,broken clouds
2025-07-24 02:35:34,New York,US,72,clear sky
2025-07-24 02:35:38,New York,US,72,clear sky
2025-07-24 02:35:40,New York,US,72,clear sky
2025-07-24 02:35:42,New York,US,72,clear sky
2025-07-24 02:35:43,New York,US,72,clear sky
2025-07-24 02:35:43,New York,US,72,clear sky
2025-07-24 02:35:44,New York,US,72,clear sky
2025-07-24 02:35:44,New York,US,72,clear sky
2025-07-24 02:35:44,New York,US,72,clear sky
2025-07-24 02:35:44,New York,US,72,clear sky
2025-07-24 02:35:45,New York,US,72,clear sky
2025-07-24 02:35:45,New York,US,72,clear sky
2025-07-24 02:35:45,New York,US,72,clear sky
2025-07-24 02:35:46,New York,US,72,clear sky
2025-07-24 02:38:42,Miami,US,81,few clouds
2025-07-24 02:46:46,New York,US,72,clear sky
2025-07-24 02:56:26,New York,US,71,clear sky
2025-07-24 03:25:51,Miami,US,81,few clouds
2025-07-24 03:31:50,Orlando,US,74,clear sky
2025-07-24 03:32:50,Miami,US,81,few clouds
2025-07-24 03:39:31,New York,US,71,clear sky
2025-07-24 03:39:55,Los Angeles,US,65,clear sky
2025-07-24 03:40:24,Miami,US,80,few clouds
2025-07-24 03:41:18,Boston,US,67,few clouds
2025-07-24 03:42:20,New York,US,71,clear sky
2025-07-24 04:20:44,Newark,US,69,scattered clouds
2025-07-24 04:21:28,Boston,US,67,few clouds
2025-07-24 04:23:48,Putnam Valley,US,65,overcast clouds
2025-07-24 04:38:23,New York,US,71,clear sky
2025-07-24 04:41:31,Bronx County,US,70,clear sky
